threshold,TP,TN,FP,FN,Recall,Precision,F1
0.0,27,0,173,0,1.0,0.135,0.2378854625550661
0.01,27,115,58,0,1.0,0.3176470588235294,0.4821428571428571
0.02,27,127,46,0,1.0,0.3698630136986301,0.54
0.03,27,137,36,0,1.0,0.42857142857142855,0.6
0.04,27,147,26,0,1.0,0.5094339622641509,0.6749999999999999
0.05,27,150,23,0,1.0,0.54,0.7012987012987013
0.06,27,151,22,0,1.0,0.5510204081632653,0.7105263157894737
0.07,27,152,21,0,1.0,0.5625,0.72
0.08,27,153,20,0,1.0,0.574468085106383,0.7297297297297298
0.09,27,154,19,0,1.0,0.5869565217391305,0.7397260273972603
0.1,27,156,17,0,1.0,0.6136363636363636,0.7605633802816901
0.11,26,156,17,1,0.9629629629629629,0.6046511627906976,0.7428571428571429
0.12,26,157,16,1,0.9629629629629629,0.6190476190476191,0.7536231884057971
0.13,26,157,16,1,0.9629629629629629,0.6190476190476191,0.7536231884057971
0.14,26,157,16,1,0.9629629629629629,0.6190476190476191,0.7536231884057971
0.15,25,158,15,2,0.9259259259259259,0.625,0.7462686567164178
0.16,24,159,14,3,0.8888888888888888,0.631578947368421,0.7384615384615385
0.17,24,161,12,3,0.8888888888888888,0.6666666666666666,0.761904761904762
0.18,23,161,12,4,0.8518518518518519,0.6571428571428571,0.7419354838709677
0.19,22,162,11,5,0.8148148148148148,0.6666666666666666,0.7333333333333333
0.2,21,163,10,6,0.7777777777777778,0.6774193548387096,0.7241379310344828
0.21,21,163,10,6,0.7777777777777778,0.6774193548387096,0.7241379310344828
0.22,20,163,10,7,0.7407407407407407,0.6666666666666666,0.7017543859649122
0.23,20,163,10,7,0.7407407407407407,0.6666666666666666,0.7017543859649122
0.24,20,164,9,7,0.7407407407407407,0.6896551724137931,0.7142857142857143
0.25,20,165,8,7,0.7407407407407407,0.7142857142857143,0.7272727272727273
0.26,20,165,8,7,0.7407407407407407,0.7142857142857143,0.7272727272727273
